time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
220,0,0,0,0,166.0367794,166.2405238,167.634088,165.7769147
221,0,0,0,0,166.9086926,167.0116744,168.4719828,166.5845837
222,0,0,0,0,167.7878904,167.7365363,169.1200912,167.4512753
223,0,0,0,0,168.4312872,168.5204971,169.9776459,168.155583
224,0,0,0,0,169.1983642,169.3765109,170.6579698,168.8679464
225,0,0,0,0,169.9003709,170.1241886,171.5142255,169.613283
226,0,0,0,1,170.5427339,170.9714023,172.3259191,169.613283
227,0,0,0,1,171.317379,171.7500172,173.0508207,169.613283
228,0,0,0,1,172.1813454,172.3932856,173.7019715,169.613283
229,0,0,0,1,173.0199511,173.140674,174.436292,169.613283
230,0,0,0,1,173.8561834,173.9532813,175.0758478,169.613283
231,0,0,0,1,174.6306204,174.7296611,175.7670444,169.613283
232,0,0,0,1,175.3014412,175.4713281,176.4558091,169.613283
233,0,0,0,1,176.0060391,176.2508882,177.3021763,169.613283
234,0,0,0,1,176.6366397,177.0074026,178.0508348,169.613283
235,0,0,0,1,177.3874012,177.8056104,178.8765693,169.613283
236,0,0,0,0,178.0449933,178.5078125,179.6514654,170.346582
237,0,0,0,0,178.6773938,179.265113,180.3959619,171.0755691
238,0,0,0,0,179.4773045,179.97068,181.2375712,171.7439242
239,0,0,1,0,180.1402221,180.7092572,181.2375712,172.5221416
240,0,0,1,0,180.8150827,181.3988394,181.2375712,173.1778319
241,0,0,1,0,181.5396136,182.2079331,181.2375712,173.8078698
242,0,0,1,0,182.3314404,182.9856738,181.2375712,174.6219673
243,0,0,1,0,182.9660549,183.6240382,181.2375712,175.3121124
244,0,0,1,0,183.8351221,184.3990568,181.2375712,176.1348353
245,0,0,1,0,184.5878366,185.1665865,181.2375712,176.9207897
246,0,0,1,0,185.2717739,185.9399018,181.2375712,177.6814417
247,0,0,1,0,186.0240764,186.692974,181.2375712,178.3499087
248,0,0,1,0,186.7226181,187.4642404,181.2375712,179.094212
249,0,0,0,0,187.5577154,188.24355,182.1034735,179.8175215
250,0,0,0,0,188.4346702,189.0080359,182.8544187,180.4952151
251,0,0,0,0,189.1665136,189.7954326,183.5198307,181.1260689
252,0,0,0,0,189.890131,190.5982561,184.2987244,181.7968705
253,0,0,0,0,190.7543016,191.3743604,185.0251823,182.5364564
254,0,0,0,0,191.6268849,192.1184025,185.8500698,183.285747
255,0,0,0,0,192.492052,192.8858255,186.6892738,183.9390909
256,0,0,0,0,193.2677679,193.7194241,187.4017764,184.7197727
257,0,0,0,0,193.9892381,194.5828695,188.1764676,185.5857593
258,0,0,0,0,194.7534363,195.405454,189.0351891,186.3228381
259,0,0,0,0,195.4578887,196.2499506,189.7756201,187.1754751
260,0,0,0,0,196.2311559,197.0001526,190.5688044,187.892109
261,0,0,0,0,196.9651768,197.6761376,191.2886795,188.5916964
262,0,0,0,0,197.7501457,198.4022897,192.122375,189.3123774
263,0,0,0,0,198.5998624,199.0330034,192.8416581,189.9811134
264,0,0,0,0,199.4296691,199.8467027,193.5525452,190.7353161
265,0,0,0,0,200.1951098,200.6906881,194.385447,191.3838142
266,0,0,0,0,200.9116271,201.4303516,195.1168461,192.1247328
267,0,0,0,0,201.6743857,202.0996277,195.8662773,192.8507492
268,0,0,0,0,202.3642515,202.9721769,196.7295702,193.6651517
269,0,0,0,0,203.2349527,203.824284,197.3948612,194.4534143
270,0,0,0,0,203.9235447,204.6600458,198.0910177,195.1426821
271,0,0,0,0,204.7704766,205.4563016,198.7723607,195.9757911
272,0,0,0,0,205.479695,206.2495654,199.5797425,196.6247825
273,0,0,0,0,206.1994028,207.0273523,200.3346184,197.4776908
274,0,0,0,0,207.0638091,207.7268874,200.9665838,198.1573243
275,0,0,0,0,207.9160086,208.363554,201.6262741,198.9439528
276,0,0,0,0,208.640224,209.0918227,202.4022243,199.7424289
277,0,0,0,0,209.4227522,209.7783925,203.2289697,200.5402307
278,0,0,0,0,210.2485207,210.5864428,203.9262923,201.2511441
279,0,0,0,0,210.9374045,211.3867771,204.5752447,202.0489251
280,0,0,0,0,211.5885399,212.218688,205.3438966,202.8860367
281,0,0,0,0,212.3163988,213.0992846,206.1004039,203.7151245
282,0,0,0,0,213.1396221,213.8255175,206.9466657,204.3683178
283,0,0,0,0,213.8204286,214.6148981,207.5855804,205.0387814
284,0,0,0,0,214.4936731,215.3130449,208.3439726,205.7660543
285,0,3,0,0,215.3428761,212.1630449,209.1833942,206.4416995
286,0,3,0,0,216.060363,209.0130449,209.8626715,207.1625781
287,0,3,0,0,216.6958049,205.8630449,210.7349746,207.8766752
288,0,3,0,0,217.3789091,202.7130449,211.4338986,208.684277
289,0,3,0,0,218.0284971,199.5630449,212.2031475,209.499944
290,0,3,0,0,218.8436603,196.4130449,212.9220769,210.2285494
291,0,3,0,0,219.6535659,193.2630449,213.5810153,211.076081
292,0,3,0,0,220.4484576,190.1130449,214.2853178,211.9459425
293,0,3,0,0,221.1912085,186.9630449,214.9234404,212.6637813
294,0,3,0,0,221.8259325,183.8130449,215.6526609,213.3767037
295,0,3,0,0,222.551895,180.6630449,216.4351766,214.096022
296,0,3,0,0,223.368422,177.5130449,217.0917176,214.9068037
297,0,3,0,0,224.0908996,174.3630449,217.9575607,215.7524363
298,0,3,0,0,224.7605849,171.2130449,218.6185553,216.6151488
299,0,3,0,0,225.5755954,168.0630449,219.3676623,217.3534338
300,0,3,0,0,226.3359991,164.9130449,220.1505355,218.2306267
301,0,3,0,0,227.0938349,161.7630449,220.8285624,219.0980838
302,0,3,0,0,227.8502272,158.6130449,221.4928928,219.8464374
303,0,3,0,0,228.6487575,155.4630449,222.3510211,220.7231558
304,0,3,0,0,229.4290466,152.3130449,223.1696493,221.5843821
305,3,3,0,0,226.2790466,149.1630449,224.031705,222.3767744
306,3,3,0,0,223.1290466,146.0130449,224.7382532,223.0550381
307,3,3,0,0,219.9790466,142.8630449,225.5102324,223.893207
308,3,3,0,0,216.8290466,139.7130449,226.157286,224.6417996
309,3,3,0,0,213.6790466,136.5630449,226.8703753,225.4234773
310,3,0,0,0,210.5290466,137.3977611,227.5088467,226.2572369
311,3,0,0,0,207.3790466,138.2670074,228.244697,227.1174651
312,3,0,0,0,204.2290466,139.1480812,229.0069513,227.786828
313,3,0,0,0,201.0790466,140.0053563,229.7876784,228.6411537
314,3,0,0,0,197.9290466,140.7998431,230.5432718,229.3509699
315,3,0,0,0,194.7790466,141.5701415,231.3338431,230.1212561
316,3,0,0,0,191.6290466,142.3134042,231.998889,230.8315757
317,3,0,0,0,188.4790466,143.003996,232.8639379,231.4617085
318,3,0,0,0,185.3290466,143.7853811,233.6957713,232.1321692
319,3,0,0,0,182.1790466,144.6053011,234.5429118,232.7779611
320,3,0,0,0,179.0290466,145.429088,235.2958379,233.4861578
321,3,0,0,0,175.8790466,146.2873243,235.9600245,234.3480213
322,3,0,0,0,172.7290466,146.9646217,236.6248575,235.1284744
323,3,0,0,0,169.5790466,147.7403048,237.4819345,235.9606225
324,3,0,0,0,166.4290466,148.4384625,238.340131,236.710919
325,3,0,0,0,163.2790466,149.2582133,239.1588102,237.5652038
326,3,0,0,0,160.1290466,150.0009139,239.8399821,238.3713702
327,3,0,0,0,156.9790466,150.7540294,240.6958323,239.2156894
328,3,0,0,0,153.8290466,151.4341522,241.4193427,239.9560209
329,3,0,0,0,150.6790466,152.071138,242.1761841,240.7046625
330,0,0,0,0,151.4742408,152.7280053,242.8438496,241.5207975
331,0,0,0,0,152.2595892,153.4021554,243.6384882,242.3802878
332,0,0,0,0,152.9237058,154.1385598,244.3014249,243.1761287
333,0,0,0,0,153.7259749,154.9181172,245.062262,243.8216407
334,0,0,0,0,154.4467224,155.6506839,245.7750261,244.5171268
335,0,0,0,0,155.2534395,156.5084986,246.6489654,245.2457715
336,0,0,0,0,155.9420617,157.3705404,247.3725369,245.9316265
337,0,0,0,0,156.8184254,158.1132145,248.024662,246.5682999
338,0,0,0,0,157.5749987,158.9851166,248.7922774,247.315615
339,0,0,0,0,158.2827192,159.8089788,249.6524981,248.1029991
340,0,0,0,0,158.990879,160.6183126,250.5134622,248.9598042
341,0,0,0,0,159.6813185,161.3649507,251.207222,249.8318525
342,0,0,0,0,160.3694116,162.0212627,251.9792279,250.5328436
343,0,0,0,0,161.0447382,162.6563748,252.8471528,251.2376162
344,0,0,0,0,161.6940784,163.333312,253.6538652,251.9558831
345,0,0,0,0,162.430629,163.9712528,254.4101777,252.7316466
346,0,0,0,0,163.1846293,164.7547433,255.257916,253.5255234
347,0,0,0,0,163.8492497,165.5080742,256.0357123,254.1894341
348,0,0,0,0,164.5757894,166.377829,256.8420416,254.9252234
349,0,0,0,0,165.2084331,167.2348739,257.5684077,255.7802629
350,0,0,0,0,166.0203374,167.9771243,258.249884,256.4625973
351,0,0,0,0,166.8233673,168.6170741,258.919084,257.1051725
352,0,0,0,0,167.5627315,169.3977682,259.5566879,257.8093475
353,0,0,0,0,168.2638049,170.2594426,260.3600885,258.5213704
354,0,0,0,0,168.8986927,170.9662495,261.1635639,259.1580937
355,0,0,0,0,169.7191519,171.8363328,261.9332843,259.831149
356,0,0,0,0,170.4474102,172.6879015,262.705527,260.6475861
357,0,0,0,0,171.2912201,173.4104561,263.3563917,261.4989591
358,0,0,0,0,172.0292523,174.0576136,264.1366284,262.2894238
359,0,0,0,0,172.7551367,174.7342916,264.9511124,263.1278094
360,0,0,0,0,173.629852,175.5876275,265.8084686,263.9787931
361,0,0,0,0,174.5075246,176.4446654,266.4849239,264.7981828
362,0,0,0,0,175.1705197,177.2250864,267.2240441,265.5945836
363,0,0,0,0,175.9063733,177.9127053,267.96603,266.4201223
364,0,0,0,0,176.7290485,178.7762914,268.7491056,267.1680075
365,0,0,0,0,177.413558,179.469022,269.497752,267.9906632
366,0,0,0,0,178.1519235,180.1306309,270.3564754,268.6686476
367,0,0,0,0,178.999988,180.8050112,271.0827761,269.312587
368,0,0,0,0,179.6492553,181.4876085,271.8531249,270.1036789
369,0,0,0,0,180.3538066,182.335269,272.6766976,270.9076261
370,0,0,0,0,181.035579,183.1556149,273.4515935,271.6622992
371,0,0,0,0,181.6834395,183.830151,274.2606375,272.4596412
372,0,0,0,0,182.4735919,184.6337251,275.0417518,273.1938998
373,0,0,0,0,183.2278421,185.36693,275.9014524,273.973854
374,0,0,0,0,184.0841754,186.1216936,276.5754105,274.7970027
375,0,0,0,0,184.7425401,186.9117601,277.3464008,275.4690793
376,0,0,0,0,185.6074313,187.6646036,278.0993857,276.1740539
377,0,0,0,0,186.4569941,188.4275651,278.8997949,277.0442717
378,0,0,0,0,187.3013404,189.2932643,279.5859182,277.7302005
379,0,0,0,0,188.0314436,190.1736101,280.2660078,278.3904479
380,0,0,0,0,188.7187677,190.9634764,281.020352,279.1834201
381,0,0,0,0,189.5909151,191.7876009,281.8733983,279.9620837
382,0,0,0,0,190.3773391,192.5987344,282.7047426,280.6128296
383,0,0,0,0,191.1960477,193.2500638,283.3810157,281.4595845
384,0,0,0,0,191.9580854,193.9627442,284.1701896,282.1767115
385,0,0,0,0,192.6214331,194.6923613,284.9291621,282.8069437
386,0,0,0,0,193.3828153,195.3978318,285.5716395,283.495642
387,0,0,0,0,194.1212452,196.1400672,286.3982833,284.1530934
