time,corrective_profit,preventive_profit,local_profit,fed_profit
273,828.218909,810.8457196,807.1157952,795.5285147
274,831.6391422,809.880882,809.259473,797.6918419
275,834.7490361,808.8347332,811.5022589,799.9903076
276,837.7573848,807.9519644,813.9851699,802.3544314
277,840.876291,806.9572122,816.382549,805.2278509
278,843.945614,805.9493939,819.4338796,808.1327063
279,847.0692739,805.0222659,822.2298454,811.0852255
280,849.7643041,804.0499622,825.1960994,814.3118731
281,852.6401415,803.4470642,828.394126,817.4202943
282,855.7743691,802.5580717,831.3285335,820.2166148
283,858.5758349,801.6203396,834.3801902,823.152537
284,861.4906929,800.8476106,837.4771896,826.2621565
285,864.7406531,796.0213573,840.7222984,829.0267119
286,867.8746491,791.3133518,843.6555452,831.9876532
287,870.8020517,786.3704992,846.5336831,835.2627099
288,873.9403006,781.4075583,849.4118963,838.1511612
289,876.7945427,776.5833262,852.4740816,841.1617772
290,880.2193869,771.7957217,855.3463083,844.1352719
291,883.3193604,767.0960181,858.2021419,847.4485987
292,886.4172852,762.1993878,861.3034735,850.6861328
293,889.4380174,757.4954181,864.20018,853.5816034
294,892.381804,756.7746464,866.3871849,856.5828966
295,895.3479268,755.9819643,868.7063039,859.791983
296,898.5592681,755.0415157,871.0026127,862.727918
297,901.5527918,750.1808205,873.4204125,865.7527925
298,904.3614187,745.1891451,875.6336307,869.0260734
299,907.6635348,740.5427101,877.9491583,872.2388515
300,910.6370639,735.0619004,880.2886821,875.1757424
301,913.4945253,729.4363212,882.2707599,878.2261106
302,916.5298618,723.8724671,884.2710983,881.3865917
303,915.7002875,718.3162692,886.7435619,884.482664
304,914.6574028,712.7813064,889.8216175,887.4854258
305,909.7998946,707.2355816,893.0516816,890.484535
306,905.0229521,701.7934957,896.2336453,893.3765179
307,900.1520772,696.3750599,899.3153499,896.5821773
308,895.4907295,690.8076944,902.3027529,899.4448135
309,890.7606201,685.2403514,905.1654286,902.4855279
310,886.0279809,684.2502701,908.222892,905.522414
311,881.3432501,683.4660059,911.1900098,908.6427479
312,876.5314456,682.7243886,914.1325727,911.5202394
313,871.6821251,682.1367517,917.1271239,914.8552178
314,866.9826434,681.3300747,920.1288928,917.6530431
315,862.2090163,680.4725692,923.0344856,920.592239
316,857.231357,679.6801808,925.8638896,923.5064324
317,848.4149701,678.9309443,929.1052493,926.1220471
318,839.5991807,677.8961524,932.2882383,929.2094014
319,830.8051464,677.1116984,935.4973798,932.0395672
320,822.0958846,676.4239539,938.761283,935.1946873
321,813.3218186,675.6460469,941.5594749,938.1672302
322,804.6884917,678.5671874,944.3064392,941.0176873
323,796.0986279,681.6220642,947.3946988,944.0180609
324,787.375492,684.6263674,950.4729254,947.1000566
325,778.6379345,687.5787024,953.721372,950.1769629
326,769.920497,690.624581,956.7020044,953.1419874
327,761.1477814,693.452893,959.8483179,956.4637761
328,756.4153373,696.2269762,962.8201875,959.3745598
329,751.5939578,699.0030592,965.9636224,962.5823709
330,750.8418074,701.9334441,969.1267004,965.6442012
331,746.0024864,704.9042504,972.1446093,968.89119
332,741.0797055,707.604261,975.1307855,972.0339201
333,736.2499539,710.774789,977.9750958,974.9577855
334,731.3770157,713.6729872,981.1084534,978.0850918
335,726.7007173,716.8644804,984.2402517,981.0393996
336,721.9510987,720.0777121,987.1640806,983.8658932
337,717.3330951,722.9254158,990.0293224,986.7659905
338,712.605229,726.2174257,992.937507,989.9383923
339,707.8173968,729.1893463,996.1311203,992.9567173
340,702.8556517,732.2350046,999.228633,995.9935044
341,697.95059,735.34412,1002.282531,998.8155647
342,696.9980471,738.2638975,1005.204135,1001.851822
343,695.8293668,741.0855967,1008.295669,1004.855097
344,695.0092019,743.8805359,1011.39011,1007.692859
345,694.0081393,746.6635101,1014.28153,1010.652503
346,693.1156421,749.7876035,1017.336632,1013.705574
347,691.9354565,752.6241172,1020.388669,1016.406455
348,690.9798909,755.9426722,1023.398123,1019.233668
349,690.1501036,758.9807835,1026.353578,1022.367061
350,689.3259729,761.9855552,1029.228989,1025.232579
351,688.4555694,764.9795622,1032.051379,1027.862643
352,687.3980717,768.1387717,1035.239366,1030.747104
353,686.5110565,771.3432783,1038.089238,1033.643227
354,685.621043,774.2624912,1041.002113,1036.492661
355,684.8727463,777.1356492,1043.996641,1039.356442
356,687.9663403,780.3898404,1047.18305,1042.489279
357,691.0261279,783.4510355,1050.160119,1045.824126
358,694.0437077,786.2694239,1053.101852,1048.852984
359,697.3025641,789.1936456,1056.206189,1051.944243
360,700.4284116,792.1607392,1059.069204,1055.307237
361,703.5004836,795.2918924,1062.076926,1058.478545
362,706.6898782,798.4807101,1065.087458,1061.600459
363,709.73236,801.3956505,1068.138922,1064.742494
364,712.9341427,804.6027677,1071.112928,1067.798002
365,715.9807112,807.5180212,1074.119355,1071.00489
366,719.2402919,810.4877279,1077.30549,1073.856126
367,722.3465344,813.4572831,1080.499533,1076.95503
368,725.4589513,816.3427018,1083.554531,1080.169394
369,728.3010442,819.4276814,1086.866466,1082.987704
370,731.4579812,822.3553766,1089.940978,1086.141212
371,734.4148623,825.3086841,1093.050638,1089.121298
372,737.5121356,828.3000946,1095.929524,1092.183306
373,740.7589076,831.1007778,1099.048687,1095.125186
374,743.8692245,834.0267085,1101.665256,1098.012641
375,746.7916165,837.0297731,1104.969742,1101.154076
376,749.854519,840.1576693,1108.032594,1104.1936
377,752.9592484,843.0691225,1110.875361,1107.305314
378,756.0238727,846.1720182,1113.770922,1110.007962
379,758.9779099,849.3672414,1116.745016,1113.026311
380,762.2166982,852.2947741,1119.555149,1115.907531
381,765.5121524,855.4670668,1122.727911,1118.983933
382,768.7117077,858.642602,1125.793157,1121.778382
383,771.7609959,861.6329083,1128.71321,1124.876038
384,774.9018641,864.3939542,1131.702751,1127.71286
385,777.6401673,867.3625284,1134.641082,1130.687752
386,780.5181311,870.3566293,1137.434528,1133.761778
387,783.707773,873.3094703,1140.762192,1136.560847
388,787.0211015,876.3347762,1143.497623,1139.637821
389,790.2457173,879.316559,1146.395428,1142.870973
390,793.4935258,882.3666364,1149.537737,1146.085941
391,796.3722132,885.4127698,1152.396477,1149.236354
392,799.2812524,888.0741682,1155.376292,1152.227349
393,802.2500848,890.9876051,1158.477412,1155.289354
394,805.0145167,894.0213814,1161.662322,1158.512701
395,807.9345307,896.8461547,1164.633398,1161.433458
396,810.9495202,900.0803615,1167.994244,1164.6741
397,813.8269613,902.7933801,1171.087337,1167.774009
398,816.750446,905.9066355,1173.972252,1170.923523
399,819.7707427,908.9286714,1176.96132,1173.760003
400,822.8597289,912.1484786,1180.2006,1176.671607
401,825.8700687,914.8963752,1183.088668,1179.783825
402,828.8452276,917.9231194,1186.270167,1182.684343
403,832.093839,920.8868256,1189.488483,1185.623607
404,835.2073075,923.7650189,1192.422748,1188.727787
405,838.2789905,926.9760858,1195.253753,1191.637369
406,841.3562852,930.1410585,1198.207629,1194.622992
407,844.3422465,933.2487265,1201.279264,1197.954883
408,847.7781137,936.1489162,1204.292132,1200.868002
409,850.7011279,939.339333,1207.087152,1204.199499
410,853.6196696,942.1782325,1209.991443,1207.278997
411,856.7502703,945.2499301,1213.120797,1210.450452
412,859.6388359,948.1615551,1216.334393,1213.27187
413,862.4943323,951.3715391,1219.252554,1216.520217
414,865.3582031,954.4189801,1222.133618,1219.66376
415,868.5375545,957.4231391,1225.20438,1222.706799
416,871.5027914,960.6353766,1228.395963,1225.830092
417,874.5309657,963.8702091,1231.266439,1228.907825
418,877.7583537,966.9268999,1234.54372,1231.955903
419,881.0982698,970.0389857,1237.549672,1235.025428
420,883.8852556,972.8694752,1240.824978,1238.279976
421,886.949701,975.8671656,1244.154094,1241.37653
422,889.9681463,979.0094594,1247.283021,1244.190341
423,893.0380455,981.9665448,1250.28126,1247.243414
424,895.9542946,985.0013035,1253.237582,1250.195037
425,899.0713905,988.0511933,1256.412166,1253.154597
426,902.3728408,991.1525935,1259.29464,1256.199507
427,905.6775557,994.0517275,1262.303529,1259.176528
428,909.0175398,996.8785648,1265.316211,1262.227267
429,911.9700985,999.8571852,1268.538523,1265.369874
430,915.1536431,1002.867368,1271.754894,1268.496488
431,918.268004,1005.713124,1274.790102,1271.413339
432,921.1566754,1008.575771,1277.95435,1274.352937
433,924.1954115,1011.743192,1281.100071,1277.603619
434,927.3279464,1014.844327,1283.945013,1280.734399
435,930.4532744,1018.202865,1287.196078,1283.53624
436,933.4590852,1021.079819,1290.250679,1286.689636
437,936.5594765,1024.163362,1293.188939,1289.728055
438,939.5817599,1027.197175,1296.184623,1292.833803
439,942.6381596,1030.437563,1299.221702,1295.935977
440,945.8355512,1033.403617,1302.176929,1299.102473
441,948.8782915,1036.487737,1305.329442,1301.879942
442,951.7859183,1039.734556,1308.188257,1304.898087
443,954.7893097,1042.833226,1311.549582,1308.111371
444,958.1374896,1045.981417,1314.343809,1311.042041
445,961.3936251,1048.610082,1317.37018,1313.771645
446,964.3478686,1051.575916,1320.158438,1317.022436
447,967.4148303,1054.872013,1323.352975,1320.143089
448,970.6083306,1057.873605,1326.224417,1323.226513
449,973.5159098,1060.708674,1329.105693,1325.387423
450,976.768803,1063.792216,1332.269686,1327.810509
451,979.8081287,1066.837191,1335.233586,1330.07936
452,982.9471252,1069.820595,1338.153812,1332.216229
453,985.9809815,1073.159485,1340.969558,1334.480305
454,988.8509923,1076.383592,1343.743015,1336.924781
455,992.0203453,1079.462328,1346.823965,1339.297026
