time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
77,48.56732786,74.3,54.56606117,1.693162508,106.8236208,0.721664122,177.1628493
78,48.56965646,74.5,54.5683681,1.672668695,106.9279629,0.718778532,176.8811558
79,48.6720653,74.87689067,54.67075534,1.593784137,107.1324571,0.719896466,176.8000527
80,48.67455712,75.27962259,54.67322566,1.526509105,107.8371086,0.720018028,176.7195588
81,48.77713476,75.78245131,54.67578192,1.648443875,107.841923,0.720143327,176.7396932
82,48.77980114,76.28538025,54.77842711,1.632788733,107.6469058,0.724272474,176.8604759
83,48.88255931,76.98841293,54.88116428,1.638343971,108.152063,0.731405584,176.9819273
84,48.98541238,77.991553,54.98399661,1.645509889,109.7574006,0.736542774,177.3040685
85,49.08836361,78.59480425,55.08692738,1.644286795,110.9629249,0.741684165,177.7269212
86,49.19141632,78.9981706,55.08996,1.664275006,112.4686423,0.744829882,178.0505079
87,49.09457398,79.20165607,55.19309796,1.676274845,113.3745596,0.745980051,178.2748515
88,49.09784017,79.10526487,55.09634489,1.696286647,114.0806837,0.749134804,178.4999759
89,49.00121856,78.80900133,55.09970455,1.705910751,113.8870217,0.750294276,178.5259054
90,49.00471298,78.31286992,55.10318082,1.713547508,113.793581,0.751458604,178.5526652
91,48.90832737,77.71687529,54.90677769,1.717597278,113.3003694,0.749627931,178.4802814
92,48.81206579,77.12102223,54.91049931,1.694860428,113.1073947,0.750802401,178.4087805
93,48.71593245,76.42531571,54.81434996,1.670937335,112.2146651,0.750982165,178.23819
94,48.6199317,75.72976087,54.61833408,1.511828386,111.4221892,0.747167376,178.1685383
95,48.52406803,74.934363,54.42245622,1.704333977,110.7299756,0.742358191,177.9998543
96,48.32834607,73.83912761,54.22672113,1.741654513,108.4380333,0.739554772,177.7321682
97,48.23277061,72.84406038,54.13113368,1.685390411,106.3463719,0.735757284,177.4655107
98,48.1373466,71.94916719,54.13569892,1.614342096,104.4550009,0.733965896,177.0999134
99,48.14207914,71.45445411,54.04042208,1.733310003,103.7639303,0.730180784,176.8354092
100,48.14697351,71.15992743,54.04530853,1.713094577,102.5731704,0.727402125,176.6720314
101,48.05203516,71.06559365,54.05036384,1.619696276,101.782732,0.728630102,176.5098145
102,48.15726971,71.2714595,54.15559378,1.585115565,101.9926261,0.728864902,176.3487942
103,48.26268297,71.57753193,54.16100427,1.730552921,102.902864,0.729106718,176.3890068
104,48.26828093,71.98381812,54.26660147,1.756408833,103.1134576,0.724355746,176.5304899
105,48.37406978,72.39032551,54.37239171,1.763883798,103.724419,0.718612186,176.6732819
106,48.38005591,72.89706177,54.47838154,1.740578326,104.8357608,0.717876246,176.6174225
107,48.58624591,73.60403486,54.58457772,1.655292937,106.847496,0.720148135,176.6629524
108,48.69264659,74.71125298,54.79098724,1.789628162,109.359638,0.72242807,176.7099134
109,48.89926497,76.21872462,54.9976173,1.716784544,111.8722007,0.72871627,176.8583484
110,49.0061083,77.72645856,55.10447537,1.700362636,113.4851985,0.736012962,177.0083015
111,49.21318405,79.03446385,55.31156911,1.700363001,115.098646,0.744318375,177.459818
